id,value
flare,
flare.1,flare.1.#momlife,2400
flare.1.#giveaway,3600
flare.1.#ad,600
flare.1.#exo,3000
flare.1.#kokobop,600
flare.1.#coindrop,600
flare.1.#football,5400
flare.1.#marketing,1800
flare.1.#success,600
flare.1.#new,600
flare.1.#rohingya,600
flare.1.#delhi,1200
flare.1.#sex,600
flare.1.#amexmarriott,600
flare.1.#pennystocks,600
flare.2,flare.2.#funny,600
flare.2.#boss,600
flare.2.#got7,3600
flare.2.#진영,600
flare.3,flare.3.#worship,1200
flare.3.#business,600
flare.3.#lol,600
flare.3.#you,600
flare.3.#maga,1200
flare.3.#bts,3000
flare.3.#women,600
flare.3.#fashion,600
flare.3.#xxx,600
flare.4,flare.4.#uk,600
flare.4.#iot,1800
flare.4.#jesus,1800
flare.4.#btsarmy,9000
flare.4.#funnymemes,600
flare.4.#방탄소년단,1200
flare.4.#taehyung,1200
flare.4.#dress,600
flare.4.#comedy,600
flare.5,flare.5.#fake,600
flare.5.#youtube,1800
flare.5.#amateur,600
flare.5.#india,1200
flare.5.#winning,600
flare.5.#gopackgo,600
flare.5.#hey,600
flare.5.#v,1200
flare.6,flare.6.#mark,600
flare.6.#universe,600
flare.6.#jimin,1800
flare.6.#producer,600
flare.6.#btc,600
flare.6.#jokes,1200
flare.6.#wannaone,600
flare.6.#워너원,600
flare.6.#private,600
flare.6.#logo,600
flare.6.#science,1200
flare.6.#treason,600
flare.6.#memes,600
flare.7,flare.7.#meme,600
flare.7.#bitcoin,1200
flare.7.#exol,3000
flare.7.#갓새븐,600
flare.7.#youare,3000
flare.7.#bambam,1200
flare.7.#jb,2400
flare.7.#elf,600
flare.8,flare.8.#time,1800
flare.8.#rip,600
flare.8.#entrepreneurship,600
flare.8.#barcelona,600
flare.8.#trapadrive,1200
flare.8.#selfie,600
flare.8.#2a,600
flare.8.#branding,600
flare.8.#rams,600
flare.9,flare.9.#reality,600
flare.9.#porno,600
flare.9.#blessed,1800
flare.9.#goodmusic,600
flare.9.#viral,600
flare.9.#salvation,1200
flare.9.#hilarious,600
flare.9.#blackpink,600
flare.10,flare.10.#bangladesh,600
flare.10.#clothes,600
flare.10.#nra,600
flare.10.#nct,600
flare.10.#เป๊กผลิตโชค,600
flare.10.#taeyeon,600
flare.10.#companies,1200
flare.10.#twice,600
flare.10.#phony,600
flare.10.#shoutout,600
flare.10.#graphicdesigner,600
flare.11,flare.11.#usmc,600
flare.11.#rrbc,4800
flare.11.#zacefron,600
flare.11.#harrystyles,600
flare.11.#dagger,600
flare.11.#뷔,600
flare.11.#태형,600
flare.11.#rodgerstickethunt,600
flare.11.#darthvader,600
flare.12,flare.12.#lukeskywalker,600
flare.12.#chiefs,600
flare.12.#stripthatdown,600
flare.12.#capreps,3000
flare.12.#buyhavanaonitunes,600
flare.12.#suga,600
flare.12.#charlottesville,600
flare.12.#gunviolence,600
flare.12.#mostrequestedlive,600
flare.12.#yg,600
flare.12.#raptors,600
flare.12.#funnyshit,600
flare.12.#아이콘,600
flare.13,flare.13.#playoff,1800
flare.13.#btsbestnewpop,600
flare.13.#netneutrality,600
flare.13.#worldseries,600
flare.13.#taken,600
flare.13.#openenrollment,600
flare.13.#funnypictures,600
flare.13.#emabiggestfansjustinbieber,600
flare.13.#王嘉爾,600
flare.13.#scrypt,600
flare.13.#theskimm,600
flare.13.#aleague,2400
flare.13.#jenniferlawrence,600
flare.13.#王様のブランチ,600
flare.13.#新テーマソング,600
flare.14,flare.14.#西野カナ,600
flare.14.#カナやん,600
flare.14.#スタッフ,600
flare.14.#melbournevictory,1800
flare.14.#aestheticbwiiminiga,600
flare.14.#we_can_do_it_exol,600
flare.14.#vote_bts_mwave,600
flare.14.#bts_mwave_gogo,600
flare.14.#peckpalitchoke,600
flare.14.#mwave_vote_bts,600
flare.14.#잘생겼다_박지민_귀엽다_박지민,600
flare.14.#plz_vote_for_bts,600
flare.15,flare.15.#millsgotskills,600
flare.15.#gabberhubdotcomgain,600
flare.15.#vote_bts_24hrs_left,600
flare.15.#bts_mwave_final,600
flare.15.#seungyoon,600
flare.15.#cryptos,600
flare.15.#thankyoukdiamonds,600
flare.15.#louistomlinson,600
flare.16,flare.16.#dem4wrightboyz,600
flare.16.#twinitinc,600
flare.16.#mysex,600
flare.16.#sistersex,600
flare.16.#3some,600
flare.16.#bts_mama_vote,600
flare.16.#유겸,600
flare.16.#riseagain,600
flare.16.#hbddarlingprabhas,600
flare.17,flare.17.#sundance,600
flare.17.#100degrees,600
flare.17.#モノクロ,600
flare.17.#alertthedaycarestaff,600
flare.18,flare.18.#faithfulmenofla,1800
flare.18.#equihash,600
flare.18.#potcoin,600
flare.18.#gogo_ph_armys,600
flare.18.#foxes,600
flare.18.#skimmlife,600
flare.18.#bellletstalk,600
flare.18.#lbry,600
flare.18.#goptaxscam,600
flare.18.#jarrydhayne,1800
flare.19,flare.19.#bitcoininchina,600
flare.19.#pakvnz,600
flare.19.#comprehensivecapricorn,600
flare.19.#westhamvliverpool,600
flare.19.#readytoplay,600
flare.19.#불타오르네,600
flare.19.#마마야p드백해,600
flare.19.#마마자니,600
flare.19.#구요_백드피_amam,600
flare.19.#stand_by_bts,600
flare.19.#馬馬핃백요구,600
flare.19.#ineedu_마마_vote,600
flare.19.#cryptoking,600
flare.19.#bts_vote_1107,600
flare.19.#goldenglobes,600
flare.20,flare.20.#afroxmas,600
flare.20.#lovebts10m,600
flare.20.#마이크드랍,600
flare.20.#아미_멜뮤튭_아이하니,600
flare.20.#ᄋr미mel믂,600
flare.20.#monstax1stwin,600
flare.20.#worldwidehandsomeday,600
flare.20.#season_of_gfriend,600
flare.20.#stream_micdrop,600
flare.20.#didyouseetheremix,600
flare.20.#thankyoubts,600
flare.20.#우리함께라면_사막도바다가돼,600
flare.21,flare.21.#sha256,600
flare.21.#btsxrockineve,1200
flare.21.#아미_툽_불타오르네,600
flare.21.#indidigital,1200
flare.21.#bp_house,600
flare.21.#블핑하우스1화,600
flare.21.#비밀스포일러,600
flare.22,flare.22.#사장마음,600
flare.22.#할인애교,600
flare.22.#첫방송_2018_01_0,600
flare.22.#beulpinghouseepisode1,600
flare.22.#discountaegyo,600
flare.22.#risingactortaehyung,600
flare.22.#weloveshilpashinde,600
flare.22.#beenthrough,600
flare.22.#dukeofsutherland,600
flare.22.#princephilip,600
flare.22.#removenunes,600
flare.22.#wepurpleutaehyung,600
flare.22.#chicandsexyjbday,600
flare.22.#새해건강맨날하자,600
flare.22.#복많이숑숑,600
flare.22.#2018년도순삭해,600
flare.23,flare.23.#spartandawgs,600
flare.23.#btsoutcastd5,600
flare.23.#bestfanarmy,10200
flare.23.#iheartawards,11400
flare.23.#32ndgoldendiscawards,600
flare.23.#bestboyband,5400
flare.23.#bestsolobreakout,600
flare.23.#방탄소년단_대상_축하해,600
flare.24,flare.24.#cottonsugaga,600
flare.24.#아미가_방탄의_힘이돼줄게,600
flare.24.#아미는_방탄없이_못4니까,600
flare.24.#아미_팬미팅밤샘사건_공론화,600
flare.24.#우함사바_아이하트,600
flare.24.#방탄은_아미의_빛나는_기억구름,600
flare.24.#releasethememo,600
flare.24.#schumershutdown,600
flare.24.#weknowitisawfuljustreleasethebleepingmessagenow,600
flare.24.#teletubbies,600
flare.24.#thankyoujimin,600
flare.24.#twitterbestfandom,2400
flare.24.#방탄_서가대대상_축하해,600
flare.24.#ขอขอบคุณ,600
flare.24.#joekennedy,600
flare.24.#polymerbazaar,1200
flare.25,flare.25.#iranplast17,600
flare.25.#1yearofspringday,600
flare.25.#xoxoteam,600
flare.25.#whereishoseok,600
flare.25.#가_온_수상자_無언급,600
flare.25.#cryptoland,600
flare.25.#goldenhobiday,600
